Sr.No.,Colleges,CourseName,SC,City
116,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,66.2395008,Kolhapur
117,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,66.077,Nanded
118,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,65.839,Kolhapur
119,"Government College Of Engineering, Amravati ",Civil Engineering,65.595,Amravati
120,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),64.167,Kolhapur
121,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Computer Science and engineering,63.94,Jaysingpur
122,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,63.697,Ashta
123,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,63.653,Nanded
124,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,63.56,Ichalkaranji
125,"Government College Of Engineering, Amravati ",Instrumentation Engineering,63.5023,Amravati
126,"Government College Of Engineering, Yavatmal",Electronics & Telecommunication Engineering,62.8228,Yavatmal
127,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),61.706,Ashta
128,AISSMS College of Engineering,Electrical Engineering,61.274,Pune
129,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,61.274,Pune
130,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,61.262,"Alandi, Pune"
131,"Department of Technology , Kolhapur",Computer Science & Technology,61.258,Kolhapur
132,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,61.157,Pune
133,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,60.504,Navi Mumbai
134,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,57.21,Kolhapur
135,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,56.808,Islampur
136,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,55.575,Pune
137,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),55.57,Ichalkaranji
138,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),55.498,Kolhapur
139,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,55.498,Yadrav
140,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,55.498,Nanded
141,"Government College Of Engineering, Yavatmal",Electrical Engineering ,51.9313,Yavatmal
142,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,51.146,Pune
143,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,50.798,Ashta
144,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Information Technology,50.61,Jaysingpur
145,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,50.561,"Alandi, Pune"
146,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,48.433,Kolhapur
147,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,48.309,"Wanadongri, Nagpur"
148,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,48.1419,Navi Mumbai
149,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Electronics and Telecommunication Engineering,47.77,Jaysingpur
150,"Government College Of Engineering, Yavatmal",Mechanical Engineering,46.4456,Yavatmal
151,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,45.981,Yadrav
152,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,45.46,Ichalkaranji
153,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,45.17,Ichalkaranji
154,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,43.013,"Alandi, Pune"
155,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,42.794,Nanded
156,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,41.074,Islampur
157,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,39.789,Islampur
158,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,38.752,Kolhapur
159,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,38.588,Pune
160,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,37.547,Pune
161,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,35.431,Ashta
162,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,35.1475881,Kolhapur
163,"Department of Technology , Kolhapur",Food Technology,33.986,Kolhapur
164,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,33.791,"Wanadongri, Nagpur"
165,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,30.671,Nanded
166,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),30.426,"Wanadongri, Nagpur"
167,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,30.331,Kolhapur
168,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,30.3,Ashta
169,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,27.773,Ashta
170,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,26.734,"Wanadongri, Nagpur"
171,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,26.729,Kolhapur
172,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,26.69,Ichalkaranji
173,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Mechanical Engineering,23.85,Jaysingpur
174,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,21.882,Pune
175,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,21.51,Kolhapur
176,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,20.82,Navi Mumbai
177,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,19.499,Navi Mumbai
178,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,19.036,Pune
179,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,15.218,Pune
180,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,15.171,Pune
181,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,13.528,Nanded
182,"Government College Of Engineering, Yavatmal",Civil Engineering,10.5999,Yavatmal
183,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,10.566,Nanded
184,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,10.55,Ichalkaranji
185,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,8.617,Kolhapur
186,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,8.181,Ashta
187,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Civil Engineering,5.69,Jaysingpur
188,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,5.443,Yadrav
189,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,4.69,Yadrav
190,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,3.997,Yadrav
191,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,3.35,Kolhapur
192,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,2.302,Pune
193,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,1.969,Yadrav
194,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,1.2465,Pune
195,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,1.246,Yadrav
196,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,0.7236,Kolhapur
197,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,0.708,Nanded
198,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
199,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,0,Ichalkaranji
200,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
201,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
202,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
203,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,0,Ashta
204,"Department of Technology , Kolhapur",Civil Engineering,0,Kolhapur
205,"Department of Technology , Kolhapur",Chemical Engineering,0,Kolhapur
206,"Department of Technology , Kolhapur",Mechanical Engineering,0,Kolhapur
207,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
208,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,0,Islampur
209,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,0,Kolhapur
210,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,0,Kolhapur
211,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,0,Nagpur
212,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,0,Nagpur
213,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
214,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
215,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,0,Nagpur
216,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,0,Nagpur
217,AISSMS College of Engineering,Instrumention Engg,0,Pune
218,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
219,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
220,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
221,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
222,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,0,Pune
223,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,0,Pune
224,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,0,Pune
