Sr.No.,Colleges,CourseName,ST,City
97,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,59.7018,Aurangabad
98,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Information Technology,59.4192,Nanded
99,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,59.358,Yadrav
100,"Government College Of Engineering, Amravati ",Electrical Engineerinng,56.8099,Amravati
101,"Government College of Engineering, Aurangabad",Mechanical Engineering,56.5826,Aurangabad
102,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,56.56,Ichalkaranji
103,"Walchand College of Engineering, Sangli",Electronics Engineering,55.311,Sangli
104,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,55.31,Kolhapur
105,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,55.021,Pune
106,"Government College Of Engineering, Yavatmal",Electrical Engineering ,54.5241,Yavatmal
107,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Computer Science and engineering,53.25,Jaysingpur
108,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,52.211,Pune
109,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),52.016,"Wanadongri, Nagpur"
110,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,51.931,Pune
111,"Walchand College of Engineering, Sangli",Electrical Engineering,50.61,Sangli
112,"Government College Of Engineering, Amravati ",Civil Engineering,50.561,Amravati
113,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,49.584,Pune
114,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,47.433,Pune
115,"Government College Of Engineering, Yavatmal",Mechanical Engineering,46.9441,Yavatmal
116,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,46.941,"Dhankavdi, Pune"
117,"Walchand College of Engineering, Sangli",Mechanical Engineering,46.0655,Sangli
118,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Information Technology,44.76,Jaysingpur
119,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,44.194,Pune
120,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,43.3051,Navi Mumbai
121,"Government College Of Engineering, Yavatmal",Computer Engineering,41.1873,Yavatmal
122,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,41.136,Kolhapur
123,"College Of Engineering, Pune",Metallurgy & Material Technology,41.074,Pune
