Sr.No.,Colleges,CourseName,VJ,City
159,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
160,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0,Kolhapur
161,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0,Kolhapur
162,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
163,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,0,Yadrav
164,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,0,Yadrav
165,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,0,Yadrav
166,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,0,Yadrav
167,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,0,Ashta
168,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,0,Ashta
169,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,0,Ashta
170,"Department of Technology , Kolhapur",Civil Engineering,0,Kolhapur
171,"Department of Technology , Kolhapur",Food Technology,0,Kolhapur
172,"Department of Technology , Kolhapur",Chemical Engineering,0,Kolhapur
173,"Department of Technology , Kolhapur",Mechanical Engineering,0,Kolhapur
174,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
175,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,0,Islampur
176,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,0,Kolhapur
177,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,0,Kolhapur
178,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,0,Navi Mumbai
179,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,0,Navi Mumbai
180,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,0,Navi Mumbai
181,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,0,"Matuga , Mumbai"
182,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",0,"Matuga , Mumbai"
183,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,0,"Matuga , Mumbai"
184,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,0,"Matuga , Mumbai"
185,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,0,"Matuga , Mumbai"
186,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,0,"Matuga , Mumbai"
187,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,0,Nagpur
188,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,0,Nagpur
189,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
190,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
191,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,0,Nagpur
192,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,0,Nagpur
193,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,0,Nanded
194,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,0,Nanded
195,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,0,Nanded
196,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,0,Nanded
197,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,0,Nanded
198,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,0,Nanded
199,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,0,Nanded
200,AISSMS College of Engineering,Electrical Engineering,0,Pune
201,AISSMS College of Engineering,Instrumention Engg,0,Pune
202,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,0,Pune
203,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
204,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,0,Pune
205,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,0,Pune
206,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,0,Pune
207,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
208,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
209,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,0,Pune
210,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,0,Pune
211,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,0,Pune
212,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
213,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,0,Pune
214,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,0,Pune
215,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,0,Pune
216,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,0,Pune
217,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,0,Pune
218,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,0,Pune
219,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,0,Pune
