Sr.No.,Colleges,CourseName,EWS,City
175,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,59.786,Kolhapur
176,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,59.786,Pune
177,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,58.8006082,Kolhapur
178,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,57.9292,Navi Mumbai
179,"Government College Of Engineering, Amravati ",Civil Engineering,57.7165,Amravati
180,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,57.6946,Pune
181,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Civil Engineering,55.575,Jaysingpur
182,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,55.575,Nanded
183,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,55.021,Ichalkaranji
184,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,53.886,"Alandi, Pune"
185,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,53.73,Navi Mumbai
186,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,53.519,Ashta
187,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,53.519,Pune
188,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,52.824,"Alandi, Pune"
189,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,52.016,Pune
190,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,51.146,Pune
191,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,48.956,"Alandi, Pune"
192,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,46.1727561,Kolhapur
193,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,43.089,Yadrav
194,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,42.518,Nanded
195,"Department of Technology, Kolhapur",Civil Engineering,40.254,Kolhapur
196,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,39.1582,Pune
197,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,38.752,Yadrav
198,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,36.42,Kolhapur
199,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,35.431,Yadrav
200,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,34.666,Nanded
201,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,33.834,Ashta
202,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,33.791,Kolhapur
203,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,30.3,Kolhapur
204,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,27.417,Ashta
205,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,25.98,Pune
206,"Rajarambapu Institute of Technology , Islampur",Automative Technology,20.499,Islampur
207,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,20.499,Islampur
208,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Information Technology,20.064,Jaysingpur
209,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,19.799,Yadrav
210,"Department of Technology, Kolhapur",Chemical Engineering,19.799,Kolhapur
211,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,17.662,Kolhapur
212,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,17.055,Pune
213,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,15.412,"Wanadongri, Nagpur"
214,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,15.171,Ichalkaranji
215,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Instrumention Engg,14.946,Pune
216,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,14.946,Pune
217,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,14.946,Pune
218,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,14.514,Ichalkaranji
219,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,14.514,Ichalkaranji
220,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,12.643,Pune
221,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,12.106,"Wanadongri, Nagpur"
222,"Department of Technology, Kolhapur",Mechanical Engineering,10.51,Kolhapur
223,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,10.021,Ichalkaranji
