Sr.No.,Colleges,CourseName,NT-C,City
99,"Modern Education Society's College of Engineering, Pune",E & TC,75.666,Pune
100,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,75.109,Islampur
101,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,74.259,Islampur
102,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,74.18,Kolhapur
103,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,73.963,Nanded
104,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,73.818,Pune
105,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),73.64,Ichalkaranji
106,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,72.659,Kolhapur
107,"Government College of Engineering, Aurangabad",Mechanical Engineering,72.5765,Aurangabad
108,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),71.62,Ichalkaranji
109,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,70.926,Nanded
110,"Government College Of Engineering, Amravati ",Civil Engineering,70.2135,Amravati
111,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,69.714,Nanded
112,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,69.666,Yadrav
113,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,69.387,"Alandi, Pune"
114,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),68.991,Ashta
115,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,67.979,Pune
116,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,67.901,Pune
117,"Government College Of Engineering, Yavatmal",Electronics & Telecommunication Engineering,66.2395,Yavatmal
118,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,65.876,"Wanadongri, Nagpur"
119,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),65.421,Kolhapur
120,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,64.497,"Alandi, Pune"
121,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,63.0502,Navi Mumbai
122,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,60.503,"Alandi, Pune"
123,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,59.01,Ichalkaranji
124,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,58.603,Kolhapur
125,"Government College Of Engineering, Yavatmal",Electrical Engineering ,56.3628,Yavatmal
126,"Department of Technology , Kolhapur",Computer Science & Technology,55.575,Kolhapur
127,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,55.575,"Matuga , Mumbai"
128,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,55.257,Navi Mumbai
129,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,55.218,Navi Mumbai
130,"Government College Of Engineering, Amravati ",Instrumentation Engineering,54.1664,Amravati
131,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),53.918,Kolhapur
132,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,51.898,Nanded
133,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,50.82,Kolhapur
134,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,50.561,Nanded
135,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,48.849,Pune
136,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,47.433,Yadrav
137,"Government College Of Engineering, Yavatmal",Civil Engineering,46.4456,Yavatmal
138,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,45.17,Ichalkaranji
139,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,44.65,Kolhapur
140,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,44.459,Pune
141,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,43.01,Kolhapur
142,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,41.622,Ashta
143,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,41.622,"Nerhe, Pune"
144,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,41.191,Kolhapur
145,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,41.074,"Wanadongri, Nagpur"
146,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,40.767,Kolhapur
147,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,38.57,Ichalkaranji
148,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,36.7166,Pune
149,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,36.421,"Wanadongri, Nagpur"
150,"Government College Of Engineering, Yavatmal",Mechanical Engineering,35.6983,Yavatmal
151,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),33.168,"Wanadongri, Nagpur"
152,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,33.168,"Wanadongri, Nagpur"
153,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,28.774,"Wanadongri, Nagpur"
154,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,27.218,Islampur
155,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,27.003,Ashta
156,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,26.729,Yadrav
157,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,23.698,Yadrav
158,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,23.685,Nanded
159,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,23.64,Kolhapur
160,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,20.418,Ashta
161,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,20.41,Kolhapur
162,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Electronics and Telecommunication Engineering,17.22,Jaysingpur
163,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,14.946,Yadrav
164,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,14.946,"Nerhe, Pune"
165,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,14.924,Ashta
166,"AISSMS College of Engineering , Pune",Electrical Engineering,10.553,Pune
167,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,10.021,Kolhapur
168,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,8.935,Pune
169,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,7.079,"Nerhe, Pune"
170,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,6.95,Kolhapur
171,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,5.443,Kolhapur
172,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,5.231,Islampur
173,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Engineering,0.375,"Wanadongri, Nagpur"
174,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,0,Ichalkaranji
175,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,0,Ichalkaranji
176,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,0,Ichalkaranji
177,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
178,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
179,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
180,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
181,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,0,Yadrav
182,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,0,Yadrav
183,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,0,Ashta
184,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,0,Ashta
185,"Department of Technology , Kolhapur",Civil Engineering,0,Kolhapur
186,"Department of Technology , Kolhapur",Food Technology,0,Kolhapur
187,"Department of Technology , Kolhapur",Chemical Engineering,0,Kolhapur
188,"Department of Technology , Kolhapur",Mechanical Engineering,0,Kolhapur
189,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Civil Engineering,0,Jaysingpur
190,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Computer Science and engineering,0,Jaysingpur
191,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Information Technology,0,Jaysingpur
192,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Mechanical Engineering,0,Jaysingpur
193,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
194,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,0,Kolhapur
195,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,0,Kolhapur
196,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,0,Navi Mumbai
197,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,0,"Matuga , Mumbai"
198,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",0,"Matuga , Mumbai"
199,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,0,"Matuga , Mumbai"
200,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,0,"Matuga , Mumbai"
201,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,0,"Matuga , Mumbai"
202,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,0,"Matuga , Mumbai"
203,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
204,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
205,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,0,Nanded
206,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,0,Nanded
207,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,0,Nanded
208,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,0,Nanded
209,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,0,Nanded
210,"AISSMS College of Engineering , Pune",Instrumention Engg,0,Pune
211,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
212,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,0,Pune
213,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,0,Pune
214,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
215,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
216,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,0,Pune
217,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,0,Pune
218,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
219,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,0,Pune
220,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,0,Pune
221,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,0,"Nerhe, Pune"
222,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,0,"Nerhe, Pune"
223,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,0,"Nerhe, Pune"
