Sr.No.,Colleges,CourseName,OBC,City
115,"Government College Of Engineering, Amravati ",Civil Engineering,75.4846,Amravati
116,"Government College Of Engineering, Amravati ",Mechanical Engineering ,74.9723,Amravati
117,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(AIML),74.658,Kolhapur
118,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,74.585,Islampur
119,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,74.096,Pune
120,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,73.963,Nanded
121,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,72.967,Kolhapur
122,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,72.594,Pune
123,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,72.576,Nanded
124,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,71.645,Nanded
125,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),71.24,Ichalkaranji
126,"Government College Of Engineering, Yavatmal",Electronics & Telecommunication Engineering,70.9263,Yavatmal
127,"Annasaheb Dange College of Engineering & Technology , Ashta",CSE(IoT and C.S),70.825,Ashta
128,"Government College of Engineering, Aurangabad",Civil Engineering,69.5296,Aurangabad
129,"Government College Of Engineering, Amravati ",Instrumentation Engineering,69.529,Amravati
130,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,66.808,Nanded
131,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,65.421,"Wanadongri, Nagpur"
132,"Rajarambapu Institute of Technology , Islampur",Electrical Engineering,65.339,Islampur
133,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,64.89,Kolhapur
134,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,64.167,Pune
135,"D.Y.Patil College of Engineering and Technology, Kolhapur",CSE(DS),64.031,Kolhapur
136,"Department of Technology , Kolhapur",Computer Science & Technology,63.716,Kolhapur
137,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,63.55,Kolhapur
138,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,62.838,Kolhapur
139,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,61.394,Yadrav
140,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,60.858,Ashta
141,AISSMS College of Engineering,Electrical Engineering,59.736,Pune
142,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,59.419,"Alandi, Pune"
143,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,58.98,Ichalkaranji
144,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,57.716,Nanded
145,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,56.809,"Alandi, Pune"
146,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,56.801,"Nerhe, Pune"
147,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,56.8001,Kolhapur
148,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,55.218,Navi Mumbai
149,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Civil Engg,50.611,Pune
150,"Government College Of Engineering, Yavatmal",Electrical Engineering ,50.5614,Yavatmal
151,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,50.561,"Alandi, Pune"
152,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,49.584,"Wanadongri, Nagpur"
153,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,48.219,Pune
154,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Information Technology,45.17,Jaysingpur
155,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,41.191,Kolhapur
156,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,41.134,Ashta
157,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),41.134,"Wanadongri, Nagpur"
158,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,41.074,Ashta
159,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,40.767,Yadrav
160,"Government College Of Engineering, Yavatmal",Civil Engineering,38.1783,Yavatmal
161,"Government College Of Engineering, Yavatmal",Mechanical Engineering,38.1738,Yavatmal
162,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,37.42,Ichalkaranji
163,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,34.239,Pune
164,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,34.23,Ichalkaranji
165,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,33.986,"Wanadongri, Nagpur"
166,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Computer Science and engineering,33.82,Jaysingpur
167,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,32.21,Kolhapur
168,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,31.351,Kolhapur
169,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,30.761,"Nerhe, Pune"
170,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,30.671,Yadrav
171,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,30.671,"Wanadongri, Nagpur"
172,"Department of Technology , Kolhapur",Chemical Engineering,27.003,Kolhapur
173,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,26.938,Ashta
174,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,26.6947,Islampur
175,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,25.838,Navi Mumbai
176,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,23.64,Kolhapur
177,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,20.63,Ichalkaranji
178,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,20.06,Ichalkaranji
179,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,18.17,Nanded
180,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,17.656,Islampur
181,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,17.225,Nanded
182,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,16.7412,Navi Mumbai
