Sr.No.,Colleges,CourseName,NT-B,City
160,"Annasaheb Dange College of Engineering and Technology, Ashta",Electrical engineering,4.19,Ashta
173,"Annasaheb Dange College of Engineering and Technology, Ashta",Food Technology,0,Ashta
174,"Annasaheb Dange College of Engineering and Technology, Ashta",Mechanical Engineering,0,Ashta
182,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,0,Navi Mumbai
183,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,0,Navi Mumbai
161,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,0,Kolhapur
162,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,0,Kolhapur
163,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,0,Ichalkaranji
164,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,0,Ichalkaranji
165,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
166,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
167,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
175,"Department Of Technology, Kolhapur",Civil Engineering,0,Kolhapur
176,"Department Of Technology, Kolhapur",Food Technology,0,Kolhapur
177,"Department Of Technology, Kolhapur",Chemical Engineering,0,Kolhapur
178,"Department Of Technology, Kolhapur",Mechanical Engineering,0,Kolhapur
190,"Government College Of Engineering, Amravati ",Instrumentation Engineering,0,Amravati
184,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,0,"Matuga , Mumbai"
185,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",0,"Matuga , Mumbai"
186,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,0,"Matuga , Mumbai"
187,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,0,"Matuga , Mumbai"
188,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,0,"Matuga , Mumbai"
189,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,0,"Matuga , Mumbai"
204,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
168,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0,Kolhapur
169,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0,Kolhapur
191,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,0,Nagpur
192,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,0,Nagpur
193,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
194,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
195,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,0,Nagpur
196,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,0,Nagpur
197,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,0,Nanded
205,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,0,Pune
206,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,0,Pune
207,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,0,Pune
208,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
209,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
201,AISSMS College of Engineering,Electrical Engineering,0,Pune
202,AISSMS College of Engineering,E & TC,0,Pune
203,AISSMS College of Engineering,Instrumention Engg,0,Pune
210,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,0,Pune
211,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
179,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
170,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
171,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,0,Yadrav
