Sr.No.,Colleges,CourseName,NT-D,City
153,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,0,Ichalkaranji
154,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),0,Ichalkaranji
155,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,0,Kolhapur
156,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,0,Kolhapur
157,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0,Kolhapur
158,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,0,Kolhapur
159,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0,Kolhapur
160,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
161,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,0,Yadrav
162,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,0,Yadrav
163,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,0,Ashta
164,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,0,Ashta
165,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,0,Ashta
166,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,0,Ashta
167,"Department of Technology , Kolhapur",Civil Engineering,0,Kolhapur
168,"Department of Technology , Kolhapur",Computer Science & Technology,0,Kolhapur
169,"Department of Technology , Kolhapur",Food Technology,0,Kolhapur
170,"Department of Technology , Kolhapur",Chemical Engineering,0,Kolhapur
171,"Department of Technology , Kolhapur",Mechanical Engineering,0,Kolhapur
172,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
173,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,0,Kolhapur
174,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,0,Kolhapur
175,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Chemical Engineering,0,Navi Mumbai
176,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,0,Navi Mumbai
177,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,0,"Matuga , Mumbai"
178,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",0,"Matuga , Mumbai"
179,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,0,"Matuga , Mumbai"
180,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,0,"Matuga , Mumbai"
181,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,0,"Matuga , Mumbai"
182,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,0,"Matuga , Mumbai"
183,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,0,"Matuga , Mumbai"
184,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,0,Nanded
185,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,0,Nanded
186,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Information Technology,0,Nanded
187,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,0,Nanded
188,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,0,Nanded
189,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,0,Nanded
190,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,0,Nanded
191,AISSMS College of Engineering,Electrical Engineering,0,Pune
192,AISSMS College of Engineering,E & TC,0,Pune
193,AISSMS College of Engineering,Instrumention Engg,0,Pune
194,"College Of Engineering, Pune",Instrumentation & Control  Engineering,0,Pune
195,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
196,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,0,Pune
197,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,0,Pune
198,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,0,Pune
199,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
200,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
201,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,0,Pune
202,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,0,Pune
203,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
204,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,0,Pune
205,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,0,Pune
206,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,0,Pune
207,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,0,"Nerhe, Pune"
208,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,0,"Nerhe, Pune"
209,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,0,"Nerhe, Pune"
210,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,0,"Nerhe, Pune"
211,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,0,"Nerhe, Pune"
212,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",AI & DS,0,"Nerhe, Pune"
