Sr.No.,Colleges,CourseName,OPEN,City
158,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,69.668,Kolhapur
159,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,68.568,Ashta
160,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,67.755,Kolhapur
161,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,67.482,"Alandi, Pune"
162,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electronics and Telecommunication Engineering,67.29,Ichalkaranji
163,AISSMS College of Engineering,Electrical Engineering,65.876,Pune
164,"Sharad Institute of Technology College of engineering, Yadrav",A.I. & D.S,65.83,Yadrav
165,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,65.27,Kolhapur
166,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Electronics and Telecommunication Engineering,65.2657,Navi Mumbai
167,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,64.0172,Nanded
168,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Computer Science and engineering,63.94,Jaysingpur
169,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,63.653,Pune
170,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Technology,63.56,Ichalkaranji
171,"MIT Academy of Engineering,Alandi, Pune",Civil Engineering,62.395,"Alandi, Pune"
172,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,62.082,Nanded
173,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electronics & Telecommunication Engineering,61.706,Pune
174,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,61.157,Pune
175,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Chemical Engineering,60.583,Kolhapur
176,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,58.81,Kolhapur
177,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,57.243,"Wanadongri, Nagpur"
178,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,56.155,Islampur
179,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,55.498,"Wanadongri, Nagpur"
180,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,54.91,Kolhapur
181,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,53.926,Pune
182,"D.Y.Patil College of Engineering and Technology, Kolhapur",Chemical Engineering,53.663,Kolhapur
183,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,51.82,Yadrav
184,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Fashion Engineering,51.21,Ichalkaranji
185,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electrical Engineering(Electronics & Power),51.146,"Wanadongri, Nagpur"
186,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,50.611,"Wanadongri, Nagpur"
187,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Information Technology,50.61,Jaysingpur
188,"Annasaheb Dange College of Engineering & Technology , Ashta",Aeronautical Engineering,47.894,Ashta
189,"Department of Technology , Kolhapur",Electronics and Telecommunication Engineering,47.894,Kolhapur
190,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,47.778,Pune
191,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Electronics and Telecommunication Engineering,47.77,Jaysingpur
192,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,47.607,Nanded
193,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,44.459,Nanded
194,AISSMS College of Engineering,Instrumention Engg,43.089,Pune
195,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,42.092,Islampur
196,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,42.09,Ichalkaranji
197,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,41.134,Pune
198,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,40.767,Pune
199,"Department of Technology , Kolhapur",Mechanical Engineering,40.254,Kolhapur
200,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,37.38,Ichalkaranji
201,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,33.16,Yadrav
202,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Man Made textile engineering,30.67,Ichalkaranji
203,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,29.352,Navi Mumbai
204,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile Chemistry,27.21,Ichalkaranji
205,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,27.21,Yadrav
206,"Walchand Institute of Technology ,Solapur",Civil Engg,26.938,Solapur
207,"Walchand Institute of Technology ,Solapur",Mechanical & AutomationEngineering,26.697,Solapur
208,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,25.981,Pune
209,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,24.386,Pune
210,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,24.348,Pune
211,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Mechanical Engineering,23.85,Jaysingpur
212,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,23.85,Yadrav
213,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,23.698,Pune
214,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,23.69,Yadrav
215,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,20.8205,Nanded
216,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,18.23,Ichalkaranji
217,"Rajarambapu Institute of Technology , Islampur",Automative Technology,17.69,Islampur
218,"Department of Technology , Kolhapur",Civil Engineering,17.656,Kolhapur
219,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,16.7412,Navi Mumbai
220,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,16.41,Ichalkaranji
221,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,15.218,Kolhapur
222,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,14.921,Pune
